"","section","age","d18c","R","R.sd","co2","co2.sd","Sz","Sz.sd"
"1","Zhaojiachuan",27.6,-9.79276878954181,0.433540828446651,0.08704707930693,194.826642335766,1.94679223339318,451.370778570477,114.343904683812
"2","Zhaojiachuan",158.89474,-9.52514965510147,0.557847966188479,0.090035421018683,201.309877834089,8.67236991830953,359.970152827155,67.4764851264434
"3","Zhaojiachuan",174.94737,-10.8764801007893,0.460287204313153,0.085188420813966,204.39880334728,12.1636069211946,444.372088561638,101.599051228286
"4","Zhaojiachuan",251.76923,-9.83907276391778,0.543683168352153,0.076888372634973,197.441030267753,8.47919021290752,362.67027164729,59.3115220912677
"5","Zhaojiachuan",433,-9.57300890314548,0.740104071717002,0.0962643419400641,208.942046511628,4.76960864921502,281.823706143424,40.6305398735279
"6","Zhaojiachuan",643,-9.28058936014713,0.764167691497994,0.097465023093633,190.348936170213,2.17638844572072,248.686736319728,33.7926635779914
"7","Zhaojiachuan",655.83333,-8.71816720200741,0.878034654052964,0.10247707203191,196.228520295203,3.72111094522411,223.738982575292,27.9139156508871
"8","Zhaojiachuan",668.66667,-8.96218331479258,0.769914314242001,0.093799413316231,176.90809650924,5.86117166898679,230.106835224995,30.6167157319853
"9","Zhaojiachuan",796,-9.03049549785715,0.733192274130091,0.098422750149614,191.478102766798,8.42496290793021,261.31265280711,38.8627544459215
"10","Fuxian",21.204,-9.29523714258619,0.434805674013936,0.080996030388843,185.087804878049,0.957427107756345,424.894648375764,91.4637887029968
"11","Fuxian",25.668,-10.4042104798834,0.396095476507624,0.079580466443753,189.664840182648,3.30794498140462,480.024920112045,116.59062763874
"12","Fuxian",69.6274509803919,-9.52972598502902,0.455815767404673,0.08405677809315,218.286655922641,20.2998152700954,480.180141631206,114.629242982653
"13","Fuxian",135.872298624754,-10.1983395737764,0.395370009508184,0.083616371129798,201.558588969963,1.89208879284244,508.639495337531,138.147399941299
"14","Fuxian",139.227897838899,-10.8802464283193,0.368851430048162,0.079198716435545,192.209252717145,2.68700576850888,521.146808831881,140.13569008328
"15","Fuxian",142.583497053045,-10.4368354958702,0.405164272755755,0.079168177770628,191.433504037759,5.14805788623244,470.932504011264,116.062875962996
"16","Fuxian",149.774066797642,-9.72663493696859,0.46636014504613,0.086416158780227,192.230410026928,6.17272225197279,411.786394730447,94.0707925857372
"17","Fuxian",178.656188605107,-9.27879418212012,0.51833432243003,0.0895467499093751,207.72889481866,9.7520510663142,399.79369330243,81.9320737398226
"18","Fuxian",258.695652173906,-10.028291552631,0.471130306703284,0.08243686467834,204.016736046846,2.66458251889484,433.755660458586,88.9234994401283
"19","Fuxian",280.173913043471,-10.8251869401739,0.436871322590386,0.081622745735123,214.86915288401,8.05124214019178,492.887096104663,114.158511869948
"20","Fuxian",294.328767123285,-10.7038618246849,0.465717691469173,0.080877371816492,210.880738580114,3.79594081443147,452.03180566308,93.924770274619
"21","Fuxian",298.150684931504,-9.47531998974978,0.485280379614664,0.084531219616925,219.144756097535,7.92758895671734,450.570476837992,90.4942140543314
"22","Fuxian",344.365740740737,-9.95719076646265,0.512754980948891,0.0896049366816839,211.410446098997,7.27025905086378,412.413771985181,83.2558370633516
"23","Fuxian",352.930555555551,-9.81335769670773,0.512641610615505,0.0881884247093461,205.691575817666,11.7457439100297,402.544055068633,82.7545547967798
"24","Fuxian",361.837962962959,-10.039360308755,0.478706914945827,0.088616879536289,203.050457624008,8.95581747618087,423.594292788192,97.1106061743495
"25","Fuxian",370.745370370368,-10.9593733753262,0.410421726552788,0.075427589945175,222.524675587983,13.0901998966148,541.818486170799,120.230348546247
"26","Fuxian",434.309090909093,-10.640581290946,0.446408313240521,0.087488080252887,199.568052539045,3.74911100573634,447.785887867121,108.527834554476
"27","Fuxian",438.727272727276,-9.728276766455,0.579993086400454,0.095969608474773,204.298354978375,3.90299030658973,351.871805412067,66.0620250841218
"28","Fuxian",448.381818181822,-9.67046192986754,0.470365320699537,0.085553821018107,201.044729503614,4.98355629378593,427.886819915526,91.4285394316495
"29","Fuxian",459.83636363637,-10.315761565866,0.414876351140143,0.081055065225217,196.040969163021,6.3479655533617,471.629600909773,114.182896916456
"30","Fuxian",468.018181818189,-9.92620098128953,0.435342554112244,0.076156012495647,206.077228596656,5.34189417092227,473.097709684751,98.5248665966511
"31","Fuxian",647.718346253247,-10.4553803080273,0.466775563730448,0.081748782579885,190.653574377905,2.62424592343528,408.88908721202,84.6558549520029
"32","Fuxian",656.529715762292,-10.1370398782511,0.554858608805445,0.085826843266133,198.522675719275,3.72111094522411,358.661172837917,62.3664374760078
"33","Fuxian",666.335917312681,-10.5185483060645,0.537962153461364,0.086749271034959,177.356126171072,2.85350661467606,330.303070793441,60.6848809704309
"34","Fuxian",673.868217054284,-9.04721692744806,0.670674057827029,0.09217816219253,206.187102685615,6.74555409139975,307.192626505713,47.2039589238979
"35","Fuxian",719.887804878087,-10.3949434677477,0.527695235911674,0.090304716994444,189.078372187557,9.72659584164299,358.848999789191,74.1877382759985
"36","Fuxian",743.551219512238,-10.5240383097516,0.41195138680429,0.079088335874247,180.537962455311,0.804155872120989,438.355005835068,101.416231480916
"37","Fuxian",753.829268292727,-10.5461271890647,0.403898751797968,0.074355688087135,192.269044270741,4.3805441062346,475.927883228217,102.144988584501
"38","Fuxian",794.744186046567,-9.21343756217493,0.466688967499321,0.082259399614466,202.315419765219,6.39706964164062,434.381730937412,90.8026750646523
"39","Fuxian",798.09302325587,-9.82648103279,0.493165620441201,0.08718950085678,190.229059069541,2.28673712233537,384.568304529,79.5647791667674
"40","Fuxian",798.651162790754,-9.53550223460343,0.481203103049997,0.084572257545658,191.949667338479,2.59999999999999,399.546891446299,82.4317317906197
